DataSeries,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q
            Foreign Exchange Assets,496542.1,489744.9,493345.2,487146.9,452763.4,450085.3,437598.4,405636.1,377675.6,399873.3,426997.1,503355.6,552760.6,555131,531927.1,506691.5,475204.9,444370.3,432532.6,394313.1,372724,373387.3,367558.1,397846,389214.5,395361.8,390039.2,374025.1,371487.4,371282.6,363892,360081.9,353365.8,342693.2,332078.6,328694.3,348420.5,355219,338589.8,338278.1,337676.1,336636.2,343541.8,340272.1,341734.8
    External Liabilities,6946827.4,6713728,6643455.1,6479841.2,6268020.4,6262713.3,6199238.6,6018188.7,6047144.5,6060978.3,5944304.4,5856307.7,5710156.5,5556302.3,5392431,5253007.2,5117892.4,4973669.9,4946363.1,4993390.1,4631709.3,4482070,4393619.2,4308898.7,4260305,4232155.5,4175910.7,4091070.1,3958671.8,3848205.6,3740568.6,3703688.5,3623759.5,3533134.8,3499531.2,3462546.7,3439603.8,3435042.2,3363080.5,3385127.7,3260936.9,3156712.8,3091981.7,3016481.3,2939408.5
        Direct Investment,3715729.7,3624601.1,3594609.6,3502656.5,3374367.2,3342078.6,3314782.4,3249204.8,3170003.6,3121957.8,3078820.7,3039056.5,3008048.6,2930948.2,2844099.8,2742841.1,2638370.3,2553593,2496415.6,2431993.6,2338468.9,2196604.5,2142645.7,2118314.4,2078317.5,2104184.3,1988207.6,1926467.9,1901523,1828316.1,1752890.9,1731821.1,1655506.8,1630701.9,1617592.7,1601576.8,1543357.5,1493832.9,1470687.6,1438957.6,1358654.1,1284560.1,1244505.2,1201372,1135746.1
            Equity And Investment Fund Shares,3114448.8,3023010,2996286.4,2913574.7,2802744.3,2786831.3,2777915.3,2733834.8,2676132.4,2627532.4,2595119.4,2564789.1,2540829.9,2467057.3,2391407.5,2296116.7,2197347.7,2126820.7,2087130,2034527.9,1964614,1831664.4,1788991.8,1777568.7,1741863.5,1767797.7,1650758.7,1585037.4,1557298.6,1489839.7,1423119.7,1408910.6,1337039,1319259.6,1312756.4,1295585.4,1290573.3,1241299.9,1216114.1,1183055,1129391.8,1068738.3,1038548.1,1004555.6,952899.5
            Debt Instruments,601280.9,601591.1,598323.2,589081.8,571622.9,555247.3,536867.1,515369.9,493871.2,494425.4,483701.3,474267.4,467218.7,463890.9,452692.3,446724.4,441022.5,426772.2,409285.6,397465.7,373855,364940.1,353653.9,340745.8,336453.9,336386.6,337449,341430.6,344224.4,338476.4,329771.2,322910.5,318467.9,311442.4,304836.3,305991.4,252784.2,252533,254573.5,255902.6,229262.3,215821.8,205957.1,196816.4,182846.6
        Portfolio Investment,842012.6,829276.8,787248.4,752098.3,708605.9,695508.2,715337.4,706388.4,695940.3,641220.7,638519,648588.9,613029.2,560373.8,522849.6,491488.5,485733.8,444011.8,431955.6,419870.1,440505.3,414354.4,410793.5,397367.3,387652.4,364848.1,348635.9,413253.2,387814.3,360772.4,344408.4,326603.5,302572.8,293888.6,279459.2,263766.3,248072.9,247469.9,273000.3,275489,274827.5,270073.7,261769.7,262189.1,248067.2
            Equity And Investment Fund Shares,519892.3,510487.2,489927.9,466608.5,437754.2,438806.5,446898.9,447568.4,425703.9,394148.8,409654.8,438743.4,408670.2,387613.7,371056.6,352049.1,351414.8,313369.8,303830.4,292977.6,316757.9,297414.7,295121.7,289183.9,283125.3,264013.5,250977.5,317986.1,294439.1,272983.1,260439.2,249904.3,230226.5,226867.6,215881.4,209662.9,203933.6,201406.5,227619.2,229456.5,228760.3,223149.8,216648.5,220136.5,207951.9
            Debt Securities,322120.3,318789.6,297320.5,285489.8,270851.7,256701.7,268438.4,258820,270236.3,247071.9,228864.2,209845.5,204359,172760.1,151793,139439.4,134318.9,130642,128125.2,126892.5,123747.5,116939.7,115671.9,108183.4,104527.1,100834.6,97658.3,95267.2,93375.2,87789.2,83969.1,76699.2,72346.4,67020.9,63577.9,54103.4,44139.3,46063.4,45381.1,46032.5,46067.2,46923.9,45121.2,42052.6,40115.3
        Financial Derivatives,335104.4,310024.7,289071.6,272593.7,254374.8,293115.3,305058.5,261657.6,295109.7,306404.7,286494.2,239570.1,207817.2,197400.3,213314.2,211387.9,209014,195068.9,184180.1,177172.9,161788.1,158988.9,152737.4,148631.8,142375.8,133901.8,129170.3,110418.4,101275.3,108925.2,115594,116459.8,124040.4,123534.1,127080,129073.2,127941,127455,127113.3,125927.7,123238.5,116266.5,110632.3,104555.5,100445.8
        Other Investment,2053980.7,1949825.4,1972525.5,1952492.7,1930672.4,1932011.3,1864060.4,1800938,1886090.9,1991395.1,1940470.5,1929092.1,1881261.5,1867580,1812167.3,1807289.7,1784774.3,1780996.2,1833811.8,1964353.5,1690947,1712122.2,1687442.6,1644585.1,1651959.4,1629221.2,1709896.9,1640930.6,1568059.3,1550192,1527675.4,1528804.1,1541639.5,1485010.2,1475399.3,1468130.3,1520232.4,1566284.4,1492279.3,1544753.4,1504216.8,1485812.5,1475074.5,1448364.7,1455149.4
            Trade Credits And Advances,177727.4,174097.2,175264.1,171330.8,166231.4,182354.5,178955.4,170743.2,162927.3,169631.9,162796.7,156851.6,146426.7,140185.3,129040.9,122709.8,123608.1,140505.2,138445.2,152985,133131.5,147867.6,147009.8,120552.4,134306.7,146246,170926.4,162940.8,137442.1,154235.9,157161.4,130911.7,130744.7,125689.5,113065.9,106439.1,143898.2,141626.3,141568.1,142889.9,143958.2,149096.2,143827.2,141533.7,151598.2
            Loans,231619.1,210170.6,214801.9,188792.4,188478.8,179528.6,188276.5,180390.1,192680.6,202018,196567.7,197963.9,199589.5,197919.3,191326.1,189397.6,169815.6,162155,166785.6,169316.8,150659.4,140693.7,145103.3,152666.4,146150.7,136740.7,142950.1,131821.4,136003.1,136543.5,142719.3,145201.5,148707.3,135958,131271.6,127006.1,127556.1,111699.6,112799.4,115830.4,115500.7,122728.6,120608.3,111015.9,109781.2
            Currency And Deposits,1441014.4,1359987.6,1376832.5,1387256.7,1353350.6,1339584.9,1284642,1240736.4,1310323.4,1374309.5,1345854.4,1330647,1293711.9,1269810.9,1258991.3,1238266.6,1222171.7,1203498.3,1249565.6,1340620.2,1220077.8,1226553.1,1222952.8,1221342.6,1228083.2,1202487.9,1258085.6,1222972.7,1179630.6,1143056.7,1107882.3,1139285.4,1129127.3,1097768.9,1088515.7,1089156.5,1121692.9,1170003.4,1126340.8,1164417.9,1138588.3,1113319.8,1123628.7,1106781.1,1099725.5
            Insurance Technical Reserves,36709.3,34654.3,39060.8,38143.4,40049.8,38116.2,36465.4,34921.4,33280.9,33553.2,33833,34148,34528.6,32990.2,31406.1,29878.2,28400.5,28013,27814.9,27607.8,27293.3,25921.5,24591.6,23345,22241.6,20459.6,18644.1,17019,15570.9,15604,15679.5,15734.8,15802.4,15546.9,15296.7,15037.6,14763.2,14863.3,14507.1,14510.3,14042.7,14134.1,13824.3,13250.1,12982.6
            Special Drawing Rights Allocation,7892.6,7751.9,7975.2,7996.7,7932.6,8022.5,8071.3,8004,8012.7,8229.1,8285.6,8381.8,8457.3,8570.7,1425.1,1418.2,1421.3,1432.2,1429.9,1448.7,1387.1,1402.3,1400.3,1398.8,1410.5,1420.1,1429.1,1417.5,1417.3,1428.7,1425.4,1412.6,1445.8,1419.7,1398.5,1412.2,1462.2,1490.3,1409.4,1408.3,1428.8,1407.1,1434.2,1446.6,1446.8
            Other Accounts Payable,159017.9,163163.8,158591,158972.7,174629.4,184404.5,167649.8,166142.9,178866.1,203653.4,193133.2,201099.7,198547.5,218103.6,199977.8,225619.3,239357.1,245392.4,249770.4,272375,158397.9,169684,146384.8,125279.8,119766.7,121866.9,117861.7,104759.2,97995.3,99323.2,102807.5,96258.1,115812,108627.3,125850.8,129078.8,110859.8,126601.5,95654.5,105696.6,90698.1,85126.7,71751.8,74337.3,79615.1
